カテゴリ,実績名,条件の種類,開始値,刻み,段階数,報酬:アレキ,報酬:補正の種類,報酬:補正量,報酬の型,実装済みの計測値,備考
撃破数,モンスターハンター,kills,100,100,50,5,全ステータス,0.2,加算%,敵撃破イベントあり,
踏破,大陸踏破,maxStage,50,50,10,300,全ステータス,17.5,乗算,maxStageあり,★ここだけ乗算。帯の切り替わりで失う装備ぶんを補う
限界突破,限界の先へ,limitBreaks,1,1,20,50,HP,1.0,加算%,jobs[].limitBreaks あり,
合成,鍛冶の道,fusions,5,5,20,20,攻撃力,0.5,加算%,未実装（装備と同時に追加）,
初回入手,初めての装備,firstRarity,N,—,5,10/30/100/300/1000,全ステータス,1/2/3/5/10,加算%,未実装,N→URの5段階。段階ごとに報酬が異なる
特殊,同ジョブ4人でステージ50,job4clear,—,—,6,300,そのジョブのステータス,10,加算%,未実装,全ジョブぶん。上級ジョブ追加時に増える
提案:手動,歴戦の指揮官,abilityUses,100,100,20,30,全ステータス,1.0,加算%,未実装,◎ 手動プレイに報酬を出す。いまオートで放置する以外の動機がない
提案:手動,オート封印,manualStageClears,5,5,10,50,全ステータス,2.0,加算%,未実装,◎ オートOFFでステージクリア。手動が強い設計を活かす
提案:救済,不屈,wipes,10,10,10,30,HP,2.0,加算%,全滅イベントあり,◎ 負けても前に進む。壁で詰まったときの救済になる
提案:レア,メタルハンター,metalKills,10,10,20,30,獲得EXP,2.0,加算%,メタル撃破イベントあり,○ レア枠を追う動機
提案:周回,ボスキラー,bossKills,50,50,20,20,装備ドロップ率,1.0,加算%,ボス撃破イベントあり,○ 装備集めの周回に報酬
提案:育成,極めし者,jobMaxLevel,—,—,6,200,全ステータス,3.0,加算%,jobs[].level あり,○ 各ジョブLv75到達。全6ジョブぶん
提案:経済,大富豪,totalGold,10000,×10,12,50,獲得ギル,3.0,加算%,未実装（累計は要記録）,○ 累計獲得ギル。桁ごとに1段階
提案:ガチャ,モグの常連,gachaPulls,10,10,20,0,全ステータス,0.5,加算%,未実装,△ ガチャ自体が報酬なのでアレキは出さない
提案:腕前,無傷の行軍,flawlessStageClears,3,3,10,50,VIT,2.0,加算%,未実装,△ 誰も戦闘不能にならずステージクリア
提案:収集,蒐集家,uniqueEquipOwned,5,5,10,40,装備ドロップ率,1.0,加算%,未実装,△ 所持している装備の種類数
